id,destination_id,category_id
1,1,1
2,2,1
3,2,5
4,3,7
5,3,9
6,4,5
7,4,9
8,4,1
9,5,5
10,5,1
11,6,9
12,6,6
13,6,5
14,7,1
15,7,9
16,7,5
17,8,1
18,8,9
19,8,5
20,9,5
21,9,1
22,10,4
23,10,5
24,10,9
25,11,9
26,11,3
27,11,1
28,12,9
29,12,1
30,13,1
31,13,9
32,13,4
33,13,5
34,14,5
35,14,9
36,14,1
37,14,4
38,15,1
39,16,4
40,16,9
41,17,11
42,18,9
43,19,9
44,19,5
45,19,1
46,20,9
47,21,6
48,21,9
49,22,7
50,22,9
51,23,1
52,23,5
53,23,9
54,23,6
55,24,3
56,24,6
57,24,9
58,25,6
59,25,9
60,25,3
61,26,3
62,26,9
63,27,9
64,27,2
65,28,9
66,29,2
67,29,9
68,30,1
69,30,9
70,30,5
71,31,9
72,31,4
73,32,5
74,32,1
75,33,2
76,33,9
77,33,4
78,34,1
79,34,9
80,35,3
81,35,9
82,36,9
83,36,3
84,37,2
85,37,9
86,37,5
87,38,1
88,39,1
89,40,1
90,41,2
91,41,9
92,42,9
93,42,6
94,43,4
95,43,1
96,43,9
97,44,4
98,44,2
99,44,9
100,45,9
101,45,4
102,46,9
103,46,4
104,47,1
105,48,3
106,48,9
107,49,1
108,50,9
109,50,2
110,50,4
111,51,9
112,51,4
113,51,2
114,52,2
115,52,9
116,52,4
117,53,9
118,53,4
119,53,2
120,54,5
121,55,1
122,55,9
123,55,4
124,56,9
125,56,4
126,56,2
127,57,1
128,57,9
129,57,4
130,57,2
131,58,4
132,58,9
133,59,9
134,59,8
135,59,3
136,60,9
137,60,8
138,60,3
139,60,4
140,61,9
141,61,4
142,61,2
143,62,9
144,62,4
145,63,2
146,63,4
147,63,9
148,64,2
149,64,4
150,64,9
151,65,5
152,65,9
153,66,9
154,66,1
155,67,8
156,67,9
157,67,5
158,68,9
159,68,5
160,69,1
161,69,9
162,70,9
163,70,1
164,71,3
165,71,9
166,72,1
167,72,9
168,73,9
169,73,5
170,73,6
171,74,9
172,74,5
173,74,2
174,75,9
175,75,1
176,76,9
177,76,3
178,77,5
179,77,9
180,78,3
181,78,9
182,78,6
183,79,3
184,79,9
185,79,6
186,80,1
187,80,9
188,81,9
189,81,1
190,82,5
191,82,9
192,83,5
193,83,9
194,84,7
195,84,8
196,84,5
197,84,9
198,85,5
199,85,9
200,85,6
201,85,4
202,86,3
203,86,9
204,87,4
205,87,9
206,87,5
207,88,12
208,88,10
209,89,12
210,90,12
211,91,12
212,92,10
213,92,12
214,93,12
215,94,12
216,95,12
217,95,10
218,96,12
219,97,11
220,98,11
221,99,11
222,100,11
223,101,11
224,102,11
225,103,11
226,104,11
227,105,13
228,106,13
229,107,11
230,108,11
231,109,11
